,power/energy-cores/,power/energy-pkg/,power/energy-ram/,context-switches,cpu-clock,cpu-migrations,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,usr,sys,idl,wai,read,writ,49,50,51,1m,5m,15m,used,free,cach,recv,send,run,blk,new,read,writ,int,csw
uncore_imc_0/cas_count_write/,0.17,0.23,0.35,0,0,0,0,0,0,0.07,0,0.01,0.45,0,0.02,0.14,0.06,0.01,0,0.53,0.5,0.07,0.02,0.16,0,0.22,0,0.02,0,0,0.14,0.01,0.01,0.03,0.55,0.02,0.07,0.19,0.46,0.11,0.19,0.02,0,0.19,0.33,0.24,1,0,0.21,0.86,0,0.18,0.78,0,0.2,0.86,0,0.18,0.06,0.19,0,0,0,0,0,0.01,0.18,0.15,0.13,0.05,0.05,0,0,0,0.18,0,0,0,0,0.04,0
uncore_imc_0/clockticks/,0.02,0.02,0,0,0.18,0,0,0,0.7,0.01,0.03,0,0,0.04,0,0,0.01,0.01,0,0,0,0.01,0.02,0,0.03,0,0.04,0,0,0,0,0,0.01,0,0,0.02,0.01,0.02,0,0.01,0.02,0.02,0.04,0.02,0,0.01,0,1,0.01,0,1,0.01,0,1,0.01,0,1,0.02,0,0.02,0,0,0,0,0,0.01,0.02,0.02,0.02,0,0,0,0,0,0.02,0,0,0,0,0,0
uncore_imc_1/cas_count_read/,0.06,0.1,0.62,0,0.01,0,0,0,0.01,0.32,0.01,0.19,0.11,0.07,0.06,0.81,0.29,0.63,0.14,0.07,0.06,0.01,0.01,0.15,0.01,0.08,0.07,0.04,0.01,0.03,0.81,0.02,0.63,0,0.07,0.01,0.01,0.06,0.7,0.25,0.06,0.01,0.07,0.06,0.22,0.97,0.21,0.01,1,0.27,0.01,0.97,0.25,0.01,0.96,0.2,0.01,0.06,0,0.06,0,0,0,0,0,0,0.05,0.04,0.04,0.06,0.06,0,0,0,0.06,0,0,0,0,0.01,0
uncore_imc_1/cas_count_write/,0.17,0.23,0.41,0,0,0,0,0,0,0.07,0.01,0.01,0.45,0,0.03,0.16,0.05,0.01,0.01,0.52,0.48,0.07,0.02,0.16,0.01,0.23,0,0.03,0,0,0.17,0.01,0.01,0.03,0.54,0.02,0.07,0.18,0.49,0.1,0.18,0.02,0,0.18,0.32,0.24,0.86,0,0.27,1,0,0.23,0.86,0,0.21,0.78,0,0.18,0.06,0.19,0,0,0,0,0,0,0.18,0.15,0.12,0.04,0.05,0,0,0,0.18,0,0,0,0,0.03,0
uncore_imc_1/clockticks/,0.02,0.02,0,0,0.18,0,0,0,0.7,0.01,0.03,0,0,0.04,0,0,0.01,0.01,0,0,0,0.01,0.02,0,0.03,0,0.04,0,0,0,0,0,0.01,0,0,0.02,0.01,0.02,0,0.01,0.02,0.02,0.04,0.02,0,0.01,0,1,0.01,0,1,0.01,0,1,0.01,0,1,0.02,0,0.02,0,0,0,0,0,0.01,0.02,0.02,0.02,0,0,0,0,0,0.02,0,0,0,0,0,0
uncore_imc_2/cas_count_read/,0.06,0.1,0.64,0,0.01,0,0.01,0.01,0.01,0.32,0.01,0.19,0.12,0.08,0.07,0.8,0.28,0.64,0.14,0.07,0.06,0.02,0.01,0.14,0.01,0.07,0.08,0.03,0.02,0.03,0.8,0.02,0.64,0,0.07,0.01,0.02,0.06,0.68,0.25,0.06,0.01,0.07,0.06,0.21,0.96,0.18,0.01,0.97,0.23,0.01,1,0.27,0.01,0.97,0.21,0.01,0.06,0,0.06,0,0,0,0,0,0,0.06,0.04,0.04,0.07,0.07,0,0,0,0.06,0,0,0,0,0.01,0
uncore_imc_2/cas_count_write/,0.18,0.25,0.47,0,0,0,0,0,0,0.07,0.01,0.01,0.49,0,0.04,0.16,0.05,0.02,0.01,0.55,0.52,0.09,0.03,0.14,0.01,0.2,0,0.03,0.01,0,0.16,0.02,0.02,0.03,0.57,0.03,0.09,0.2,0.48,0.1,0.2,0.03,0,0.2,0.32,0.23,0.78,0,0.25,0.86,0,0.27,1,0,0.24,0.85,0,0.19,0.07,0.2,0,0,0,0,0,0,0.19,0.16,0.13,0.06,0.06,0,0,0,0.19,0,0,0,0,0.04,0
uncore_imc_2/clockticks/,0.02,0.02,0,0,0.18,0,0,0,0.7,0.01,0.03,0,0,0.04,0,0,0.01,0.01,0,0,0,0.01,0.02,0,0.03,0,0.04,0,0,0,0,0,0.01,0,0,0.02,0.01,0.02,0,0.01,0.02,0.02,0.04,0.02,0,0.01,0,1,0.01,0,1,0.01,0,1,0.01,0,1,0.02,0,0.02,0,0,0,0,0,0.01,0.02,0.02,0.02,0,0,0,0,0,0.02,0,0,0,0,0,0
uncore_imc_3/cas_count_read/,0.06,0.1,0.62,0,0.01,0,0,0,0.01,0.34,0.01,0.19,0.12,0.08,0.06,0.8,0.3,0.64,0.15,0.07,0.07,0.02,0.02,0.14,0.01,0.07,0.08,0.03,0.01,0.03,0.8,0.02,0.64,0,0.08,0.02,0.02,0.06,0.68,0.27,0.06,0.01,0.08,0.06,0.22,0.97,0.2,0.01,0.96,0.21,0.01,0.97,0.24,0.01,1,0.24,0.01,0.06,0,0.06,0,0,0,0,0,0,0.06,0.04,0.04,0.08,0.07,0,0,0,0.06,0,0,0,0,0.01,0
uncore_imc_3/cas_count_write/,0.18,0.24,0.4,0,0,0,0,0,0,0.08,0,0.01,0.49,0,0.02,0.14,0.06,0.01,0.01,0.56,0.53,0.1,0.03,0.14,0,0.19,0,0.02,0,0,0.14,0.01,0.01,0.03,0.58,0.03,0.1,0.2,0.45,0.11,0.2,0.02,0,0.2,0.33,0.22,0.86,0,0.2,0.78,0,0.21,0.85,0,0.24,1,0,0.19,0.07,0.2,0,0,0,0,0,0,0.19,0.16,0.13,0.07,0.07,0,0,0,0.19,0,0,0,0,0.04,0
uncore_imc_3/clockticks/,0.02,0.02,0,0,0.18,0,0,0,0.7,0.01,0.03,0,0,0.04,0,0,0.01,0.01,0,0,0,0.01,0.02,0,0.03,0,0.04,0,0,0,0,0,0.01,0,0,0.02,0.01,0.02,0,0.01,0.02,0.02,0.04,0.02,0,0.01,0,1,0.01,0,1,0.01,0,1,0.01,0,1,0.02,0,0.02,0,0,0,0,0,0.01,0.02,0.02,0.02,0,0,0,0,0,0.02,0,0,0,0,0,0
usr,0.91,0.91,0.31,0,0.02,0.02,0,0,0.02,0.1,0.43,0.03,0.65,0.07,0.04,0.15,0.08,0.01,0.01,0,0,0.76,0.58,0.19,0.43,0.06,0.07,0.07,0.02,0,0.16,0,0.01,0,0,0.58,0.76,0.97,0.22,0.09,0.97,0.57,0.08,0.97,0.73,0.06,0.18,0.02,0.06,0.18,0.02,0.06,0.19,0.02,0.06,0.19,0.02,1,0,1,0,0,0,0,0,0.04,0.89,0.65,0.43,0.27,0.28,0.04,0,0,0.95,0,0,0,0,0.15,0
sys,0,0,0.02,0.02,0,0.03,0.17,0.17,0,0,0.01,0,0.03,0,0.01,0,0,0,0,0.11,0.11,0,0,0,0.01,0,0,0.03,0,0,0,0.01,0,0.01,0.1,0,0,0,0.02,0,0,0,0.01,0,0,0,0.06,0,0,0.06,0,0,0.07,0,0,0.07,0,0,1,0,0,0,0.01,0,0,0,0,0,0,0.01,0.01,0.01,0.02,0.02,0,0,0.06,0,0.01,0.02,0.02
idl,0.91,0.91,0.32,0,0.02,0.01,0,0,0.02,0.11,0.42,0.03,0.67,0.07,0.04,0.15,0.08,0,0.01,0,0,0.76,0.58,0.19,0.42,0.06,0.07,0.06,0.02,0,0.16,0,0,0,0,0.58,0.76,0.97,0.23,0.09,0.97,0.57,0.08,0.97,0.74,0.06,0.19,0.02,0.06,0.19,0.02,0.06,0.2,0.02,0.06,0.2,0.02,1,0,1,0,0,0,0,0,0.04,0.89,0.65,0.43,0.27,0.28,0.04,0,0,0.95,0,0,0,0,0.16,0
wai,0,0,0,0.06,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0.79,0.01,0.06
read,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
writ,0,0,0,0.05,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.96,0.01,0.05
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0.03,0.03,0,0,0.01,0,0,0,0.01,0.01,0.04,0.01,0.01,0.04,0.02,0,0.01,0.01,0.01,0,0,0.04,0.01,0,0.04,0,0.04,0.02,0.02,0,0,0,0.01,0,0,0.01,0.04,0.04,0,0.01,0.04,0.03,0.04,0.04,0.01,0,0.01,0.01,0,0,0.01,0,0,0.01,0,0,0.01,0.04,0,0.04,0,0,0,0,0.2,1,0.04,0.05,0.04,0.02,0.03,0.07,0,0,0.03,0,0,0,0,0.01,0
1m,0.82,0.82,0.31,0,0.02,0.01,0,0,0.02,0.09,0.35,0.03,0.6,0.05,0.05,0.14,0.07,0,0.01,0,0,0.71,0.5,0.18,0.35,0.06,0.05,0.06,0.02,0,0.15,0,0,0,0,0.5,0.71,0.88,0.21,0.08,0.88,0.49,0.06,0.88,0.68,0.05,0.18,0.02,0.05,0.18,0.02,0.06,0.19,0.02,0.06,0.19,0.02,0.89,0,0.89,0,0,0,0,0,0.04,1,0.82,0.56,0.3,0.31,0.05,0,0,0.86,0,0,0,0,0.12,0
5m,0.57,0.57,0.25,0,0.02,0.01,0,0,0.02,0.05,0.19,0.01,0.41,0.02,0.04,0.11,0.04,0.01,0.01,0,0,0.53,0.31,0.15,0.19,0.05,0.02,0.05,0.02,0,0.11,0,0.01,0,0,0.31,0.53,0.64,0.17,0.05,0.64,0.33,0.03,0.64,0.51,0.04,0.15,0.02,0.04,0.15,0.02,0.04,0.16,0.02,0.04,0.16,0.02,0.65,0,0.65,0,0,0,0,0,0.05,0.82,1,0.86,0.3,0.33,0.08,0,0,0.62,0,0,0,0,0.09,0
15m,0.36,0.37,0.21,0,0.02,0.01,0,0,0.02,0.03,0.09,0.01,0.24,0.01,0.01,0.1,0.03,0,0.01,0,0,0.31,0.19,0.15,0.09,0.05,0.01,0.03,0.02,0,0.1,0,0,0,0,0.19,0.31,0.42,0.15,0.03,0.42,0.19,0.01,0.42,0.39,0.04,0.13,0.02,0.04,0.12,0.02,0.04,0.13,0.02,0.04,0.13,0.02,0.43,0,0.43,0,0,0,0,0,0.04,0.56,0.86,1,0.17,0.23,0.16,0,0,0.41,0,0,0,0,0.06,0
used,0.27,0.28,0.17,0,0,0.01,0,0,0,0.11,0.06,0.08,0.27,0.01,0.05,0.05,0.05,0.05,0.02,0.01,0.02,0.35,0.25,0,0.06,0,0.01,0.03,0.04,0.01,0.05,0.02,0.05,0,0.02,0.25,0.35,0.27,0.06,0.05,0.27,0.18,0.01,0.27,0.15,0.07,0.05,0,0.06,0.04,0,0.07,0.06,0,0.08,0.07,0,0.27,0.01,0.27,0,0,0,0,0,0.02,0.3,0.3,0.17,1,0.96,0.03,0,0,0.26,0,0,0,0,0.02,0
free,0.28,0.29,0.16,0,0,0.01,0,0,0,0.11,0.07,0.08,0.26,0,0.06,0.05,0.05,0.04,0.02,0.01,0.02,0.35,0.25,0,0.07,0,0,0.04,0.05,0.01,0.05,0.01,0.04,0,0.01,0.25,0.35,0.28,0.06,0.05,0.28,0.19,0,0.28,0.16,0.07,0.05,0,0.06,0.05,0,0.07,0.06,0,0.07,0.07,0,0.28,0.01,0.28,0,0,0,0,0,0.03,0.31,0.33,0.23,0.96,1,0.12,0,0,0.27,0,0,0,0,0.02,0
cach,0.04,0.04,0,0,0,0.01,0,0,0,0,0.04,0,0.01,0.03,0.03,0.01,0,0,0,0,0,0.02,0.02,0,0.04,0,0.03,0.03,0.02,0,0.01,0,0,0,0,0.02,0.02,0.04,0.01,0,0.04,0.03,0.03,0.04,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.01,0.04,0,0,0,0,0,0.07,0.05,0.08,0.16,0.03,0.12,1,0,0,0.03,0,0.02,0,0,0,0
recv,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.68,0.13
send,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.68,0.13
run,0.89,0.89,0.31,0,0.02,0.01,0,0,0.02,0.1,0.42,0.03,0.65,0.07,0.04,0.14,0.08,0,0.01,0,0,0.74,0.57,0.18,0.42,0.06,0.07,0.06,0.02,0,0.15,0,0,0,0,0.57,0.74,0.95,0.22,0.09,0.95,0.56,0.08,0.95,0.71,0.05,0.18,0.02,0.06,0.18,0.02,0.06,0.19,0.02,0.06,0.19,0.02,0.95,0,0.95,0,0,0,0,0,0.03,0.86,0.62,0.41,0.26,0.27,0.03,0,0,1,0,0,0,0,0.15,0
blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.35,0.01,0
new,0.01,0.01,0,0.03,0,0.44,0.01,0.01,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,1,0,0,0,0.04
read,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
writ,0,0,0,0.05,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.79,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,1,0.01,0.05
int,0.15,0.15,0.06,0.14,0,0,0,0,0,0.01,0.06,0,0.09,0.02,0,0.03,0.01,0,0,0,0,0.09,0.07,0.04,0.06,0.01,0.02,0,0,0,0.03,0,0,0,0,0.07,0.09,0.15,0.05,0.01,0.15,0.09,0.02,0.15,0.13,0.01,0.04,0,0.01,0.03,0,0.01,0.04,0,0.01,0.04,0,0.15,0.02,0.16,0.01,0,0.01,0,0,0.01,0.12,0.09,0.06,0.02,0.02,0,0.68,0.68,0.15,0.01,0,0,0.01,1,0.14
csw,0,0,0,0.97,0,0.03,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.06,0,0.05,0,0,0,0,0,0,0,0,0,0.13,0.13,0,0,0.04,0,0.05,0.14,1
